"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000001";"155 781 758";"A01";"1";"7";"0";"2";"1";"13";"1";""
"202400000001";"155 781 759";"B01";"2";"14";"0";"2";"2";"21";"1";""
"202400000002";"155 781 757";"A01";"1";"10";"0";"1";"3";"15";"1";""
"202400000003";"155 781 756";"A01";"3";"3";"9";"1";"1";"1";"1";""
"202400000004";"155 781 754";"B01";"3";"34";"0";"2";"0";"0";"1";""
"202400000004";"155 781 755";"A01";"3";"7";"0";"2";"3";"15";"0";""
"202400000005";"155 781 750";"A01";"3";"7";"0";"2";"1";"9";"1";""
"202400000005";"155 781 751";"B01";" -1";"7";"0";"2";"1";"17";"1";""
"202400000005";"155 781 752";"C01";" -1";"7";"0";"0";"3";"2";"1";""
"202400000005";"155 781 753";"D01";" -1";"7";"0";"0";"1";"2";"1";""
"202400000006";"155 781 748";"A01";"3";"7";"0";"2";"1";"1";"1";""
"202400000006";"155 781 749";"B01";"2";"7";"0";"2";"6";"19";"1";""
"202400000007";"155 781 746";"A01";"2";"7";"0";"2";"2";"15";"1";""
"202400000007";"155 781 747";"B01";"3";"7";"0";"2";"3";"9";"2";""
"202400000008";"155 781 742";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000008";"155 781 743";"B01";"1";"7";"0";"2";"4";"2";"1";""
"202400000009";"155 781 741";"A01";"1";"7";"6";"5";"2";"14";"1";""
"202400000010";"155 781 740";"A01";"1";"33";"12";"0";"8";"18";"1";""
"202400000011";"155 781 738";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202400000011";"155 781 739";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000012";"155 781 737";"A01";"1";"33";"0";"0";"7";"1";"1";""
"202400000013";"155 781 736";"A01";"2";"2";"0";"1";"2";"1";"1";""
"202400000014";"155 781 734";"Z01";"2";"1";"0";"2";"2";"17";"5";""
"202400000014";"155 781 735";"A01";"2";"1";"0";"2";"3";"1";"5";""
"202400000015";"155 781 732";"A01";"3";"80";"0";"2";"1";"1";"3";""
"202400000015";"155 781 733";"B01";"1";"80";"0";"2";"1";"1";"3";""
"202400000016";"155 781 730";"B01";"2";"50";"1";"0";"2";"22";"3";""
"202400000016";"155 781 731";"A01";"3";"10";"1";"2";"2";"22";"1";""
"202400000017";"155 781 729";"A01";"1";"7";"0";"1";"4";"26";"1";""
"202400000018";"155 781 727";"A01";"2";"7";"0";"2";"3";"9";"1";""
"202400000018";"155 781 728";"B01";"2";"1";"0";"2";"7";"1";"5";""
"202400000019";"155 781 726";"A01";"2";"7";"0";"1";"1";"16";"2";""
