"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"201900000001";"138 306 524";"B01";"2";"7";"0";"2";"5";"23";"1";""
"201900000001";"138 306 525";"A01";"2";"17";"1";"0";"3";"11";"1";""
"201900000002";"138 306 523";"A01";"1";"7";"4";"0";"1";"0";"1";""
"201900000003";"138 306 520";"A01";"1";"7";"0";"2";"1";"2";"1";""
"201900000003";"138 306 521";"B01";"1";"7";"1";"0";"4";"2";"1";""
"201900000003";"138 306 522";"C01";"1";"7";"0";"2";"4";"23";"6";""
"201900000004";"138 306 517";"A01";"2";"7";"0";"2";"4";"23";"1";""
"201900000004";"138 306 518";"B01";"2";"7";"0";"2";"4";"23";"1";""
"201900000004";"138 306 519";"C01";"2";"7";"0";"2";"1";"2";"1";""
"201900000005";"138 306 515";"B01";"1";"7";"0";"2";"4";"23";"1";""
"201900000005";"138 306 516";"A01";"1";"7";"0";"2";"4";"21";"1";""
"201900000006";"138 306 513";"A01";"1";"7";"0";"2";"1";"1";"1";""
"201900000006";"138 306 514";"B01";"1";"7";"0";"2";"3";"9";"1";""
"201900000007";"138 306 509";"A01";"3";"7";"14";"0";"1";"2";"1";""
"201900000007";"138 306 510";"B01";"3";"7";"0";"2";"4";"2";"1";""
"201900000008";"138 306 508";"A01";"1";"7";"1";"0";"2";"1";"1";""
"201900000009";"138 306 505";"A01";"1";"7";"0";"2";"1";"1";"1";""
"201900000009";"138 306 506";"B01";"1";"7";"0";"2";"4";"1";"1";""
"201900000009";"138 306 507";"C01";"1";"7";"0";"2";"4";"1";"1";""
"201900000010";"138 306 503";"B01";"2";"33";"0";"2";"4";"1";"1";""
"201900000010";"138 306 504";"A01";"2";"7";"0";"2";"2";"1";"1";""
"201900000011";"138 306 502";"A01";"1";"7";"0";"1";"3";"1";"1";""
"201900000012";"138 306 501";"A01";"2";"42";"4";"0";"2";"1";"1";""
"201900000013";"138 306 500";"A01";"1";"7";"0";"0";"0";"26";"1";""
"201900000014";"138 306 498";"A01";"1";"7";"0";"2";"8";"15";"1";""
"201900000014";"138 306 499";"B01";"1";"7";"0";"2";"5";"17";"1";""
"201900000015";"138 306 497";"A01";"3";"30";"0";"1";"1";"1";"1";""
"201900000016";"138 306 496";"A01";"1";"7";"0";"1";"5";"4";"1";""
"201900000017";"138 306 495";"A01";"3";"7";"0";"1";"1";"1";"0";""
"201900000018";"138 306 493";"B01";"3";"7";"0";"2";"3";"0";"0";""
"201900000018";"138 306 494";"A01";"3";"7";"0";"2";"5";"12";"0";""
