"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202300000001";"203 851 184";"155 680 557";"A01";"1";"1";"4";"1";"1978";"5";"2";"0";" -1";" -1";" -1";" -1"
"202300000002";"203 851 182";"155 680 556";"A01";"1";"1";"1";"2";"1997";"9";"1";"0";" -1";" -1";" -1";" -1"
"202300000002";"203 851 183";"155 680 556";"A01";"10";"3";"3";"1";"1997";"9";"0";" -1";" -1";"2";"3";"1"
"202300000003";"203 851 180";"155 680 554";"B01";"1";"1";"3";"1";"1987";"0";"2";"6";"0";"0";"0";" -1"
"202300000003";"203 851 181";"155 680 555";"A01";"1";"1";"1";"2";"1984";"0";"1";"0";"0";"0";"0";" -1"
"202300000004";"203 851 175";"155 680 551";"B01";"2";"2";"1";"2";"2001";"1";"1";"0";" -1";" -1";" -1";" -1"
"202300000004";"203 851 176";"155 680 551";"B01";"1";"1";"1";"2";"1995";"1";"1";"0";" -1";" -1";" -1";" -1"
"202300000004";"203 851 177";"155 680 552";"C01";"1";"1";"1";"1";"1968";"9";"1";"0";" -1";" -1";" -1";" -1"
"202300000004";"203 851 178";"155 680 552";"C01";"2";"2";"4";"1";"1956";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000004";"203 851 179";"155 680 553";"A01";"1";"1";"1";"1";"1985";"1";"1";"0";" -1";" -1";" -1";" -1"
"202300000005";"203 851 173";"155 680 549";"B01";"1";"1";"4";"2";"2001";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000005";"203 851 174";"155 680 550";"A01";"1";"1";"1";"1";"2001";"3";"1";"0";" -1";" -1";" -1";" -1"
"202300000006";"203 851 171";"155 680 548";"A01";"10";"3";"4";"1";"2003";"9";"0";" -1";" -1";"3";"3";"1"
"202300000006";"203 851 172";"155 680 548";"A01";"1";"1";"1";"1";"1962";"5";"1";"0";" -1";" -1";" -1";" -1"
"202300000007";"203 851 167";"155 680 545";"C01";"1";"1";"1";"1";"1988";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000007";"203 851 168";"155 680 546";"A01";"4";"2";"4";"2";"1975";"5";"1";"0";" -1";" -1";" -1";" -1"
"202300000007";"203 851 169";"155 680 546";"A01";"1";"1";"1";"1";"1968";"5";"1";"0";" -1";" -1";" -1";" -1"
"202300000007";"203 851 170";"155 680 547";"B01";"1";"1";"1";"2";"1979";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000008";"203 851 164";"155 680 543";"B01";"4";"2";"4";"2";"2020";"0";"1";"8";" -1";" -1";" -1";" -1"
"202300000008";"203 851 165";"155 680 543";"B01";"1";"1";"1";"1";"1980";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000008";"203 851 166";"155 680 544";"A01";"1";"1";"1";"1";"1981";"0";"1";"0";" -1";" -1";" -1";" -1"
"202300000009";"203 851 162";"155 680 541";"A01";"1";"1";"1";"1";"1988";"0";"1";"0";" -1";" -1";" -1";" -1"
