"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202300000001";"7";"05";"2023";"06:00";"1";"75";"75101";"2";"4";"2";"7";"RUE DE RIVOLI";"48,86638600";"2,32347100"
"202300000002";"7";"05";"2023";"05:30";"5";"94";"94080";"2";"1";"3";"6";"Avenue de Paris";"48,84547782";"2,42868146"
"202300000003";"7";"05";"2023";"20:50";"1";"94";"94022";"2";"3";"2";"1";"Avenue du Général Leclerc";"48,76240000";"2,40655000"
"202300000004";"6";"05";"2023";"23:57";"5";"94";"94078";"2";"1";"3";"5";"Rue de Paris";"48,73248432";"2,44687575"
"202300000005";"7";"05";"2023";"00:50";"5";"94";"94068";"2";"2";"3";"3";"56bis Avenue Raspail";"48,78581000";"2,49217000"
"202300000006";"7";"05";"2023";"18:10";"1";"94";"94058";"2";"3";"2";"6";"Avenue Gabriel Péri";"48,83717000";"2,51361000"
"202300000007";"7";"05";"2023";"18:45";"1";"94";"94076";"2";"1";"2";"4";"185 Boulevard Maxime Gorki";"48,78693219";"2,36756095"
"202300000008";"7";"05";"2023";"17:20";"1";"94";"94011";"2";"2";"3";"1";"Route de Stains / Rue du Moulin Bateau";"48,78238000";"2,49510000"
"202300000009";"7";"05";"2023";"18:50";"1";"94";"94022";"2";"3";"8";"3";"Avenue de la République";"48,76240184";"2,40690601"
"202300000010";"7";"05";"2023";"18:20";"1";"94";"94079";"2";"1";"2";"6";"Boulevard de Friedberg";"48,83266000";"2,54378000"
"202300000011";"7";"05";"2023";"12:15";"1";"95";"95527";"1";"9";"2";"3";"A3";"48,99572240";"2,51560628"
"202300000012";"6";"05";"2023";"11:15";"1";"93";"93051";"2";"3";"8";"3";"Rue du Docteur Vaillant / A4";"48,83611000";"2,56460000"
"202300000013";"7";"05";"2023";"20:10";"1";"93";"93030";"2";"1";"2";"2";"Avenue Ambroise Croizat";"48,95859534";"2,41581470"
"202300000014";"7";"05";"2023";"10:30";"1";"93";"93013";"2";"6";"1";"6";"Carrefour Lindbergh";"48,94211000";"2,42916000"
"202300000015";"7";"05";"2023";"19:15";"1";"93";"93010";"2";"1";"2";"2";"Avenue Galliéni";"48,90631671";"2,48228681"
"202300000016";"7";"05";"2023";"01:56";"5";"92";"92050";"2";"2";"3";"3";"CLEMENCEAU GEORGES AVENUE N° PAIR";"48,88677185";"2,20519647"
"202300000017";"7";"05";"2023";"21:40";"5";"92";"92007";"2";"9";"2";"3";"VERDUN (RUE DE) N° PAIRS";"48,80202300";"2,31800600"
"202300000018";"7";"05";"2023";"12:10";"1";"01";"01383";"1";"3";"3";"1";"D1083";"46,08672900";"5,11126600"
"202300000019";"8";"05";"2023";"12:35";"1";"38";"38378";"2";"1";"1";"6";"Route de condrieu, D4";"45,43994100";"4,76989000"
"202300000020";"8";"05";"2023";"15:10";"1";"91";"91022";"1";"1";"1";"1";"Arrancourt";"48,33290200";"2,14722600"
"202300000021";"6";"05";"2023";"14:25";"1";"22";"22177";"1";"1";"1";"2";"Le Clos de la Lande";"48,63356800";" -2,97344300"
"202300000022";"6";"05";"2023";"18:50";"3";"972";"97226";"1";"1";"1";"1";"RD 9";"14,45471200";" -60,86090000"
"202300000023";"7";"05";"2023";"11:00";"1";"974";"97414";"2";"6";"1";"3";"Rue du General de Gaulle";" -21,28161700";"55,40772200"
"202300000024";"7";"05";"2023";"23:40";"5";"06";"06095";"2";"1";"1";"7";"Avenue de Boutiny";"43,64474400";"6,88496200"
"202300000025";"6";"05";"2023";"10:10";"1";"67";"67465";"2";"1";"1";"3";"17 rue albert fuchs";"48,79991000";"7,98321400"
"202300000026";"7";"05";"2023";"16:30";"1";"56";"56234";"1";"1";"1";"7";"Avenue de Saint Malo";"47,54181300";" -3,13490700"
"202300000027";"8";"05";"2023";"06:00";"2";"2B";"2B050";"1";"1";"1";"6";"route territoriale 30";"42,55165000";"8,77800100"
"202300000028";"7";"05";"2023";"22:00";"5";"82";"82072";"2";"1";"1";"2";"Avenue du Midi";"44,11372700";"0,85086100"
"202300000029";"8";"05";"2023";"11:00";"1";"11";"11257";"1";"1";"1";"6";"D3 ";"43,14953200";"2,49144000"
"202300000030";"3";"05";"2023";"15:15";"1";"63";"63430";"2";"1";"1";"1";"Avenue Léo Lagrange";"45,84662600";"3,52712600"
"202300000031";"6";"05";"2023";"23:20";"3";"47";"47052";"1";"1";"1";"6";"Route de Nérac";"44,29943500";"0,09771800"
"202300000032";"6";"05";"2023";"18:20";"1";"39";"39370";"1";"1";"1";"7";"N/A";"46,98836200";"5,78056800"
"202300000033";"7";"05";"2023";"12:30";"1";"29";"29105";"2";"1";"1";"3";"Rue du Général de Gaulle";"48,50973500";" -4,07505900"
"202300000034";"6";"05";"2023";"19:25";"1";"29";"29024";"1";"1";"1";"1";"Kernabad";"48,25367700";" -3,59460000"
"202300000035";"8";"05";"2023";"17:54";"1";"29";"29037";"1";"1";"2";"2";"D44";"47,88371900";" -4,16408100"
"202300000036";"8";"05";"2023";"15:25";"1";"26";"26306";"1";"1";"1";"7";"RD4 P 07+500";"44,33986100";"5,29671400"
"202300000037";"8";"05";"2023";"01:45";"3";"60";"60647";"1";"1";"5";"7";"Rue de Pierrefonds";"49,39196900";"2,97498800"
"202300000038";"6";"05";"2023";"04:45";"2";"45";"45108";"1";"1";"1";"7";"D940 PR 6 + 598";"47,61816900";"2,54319500"
"202300000039";"8";"05";"2023";"14:15";"1";"64";"64538";"1";"1";"1";"3";"Route d'Arnéguy";"43,15042100";" -1,25333700"
"202300000040";"7";"05";"2023";"12:35";"1";"16";"16132";"2";"1";"1";"6";"11 ROUTE DE LIMOGES";"45,89452600";"0,79394500"
"202300000041";"8";"05";"2023";"16:30";"1";"07";"07167";"1";"3";"7";"3";"D2";"44,80020241";"4,60940391"
"202300000042";"5";"05";"2023";"12:15";"1";"17";"17218";"2";"1";"1";"6";"41 Rue des Moulins";"46,30733800";" -0,99866400"
"202300000043";"7";"05";"2023";"22:55";"3";"23";"23029";"1";"2";"1";"3";"Combrant";"46,29574300";"1,85053100"
"202300000044";"6";"05";"2023";"09:20";"1";"87";"87151";"2";"3";"7";"3";"Avenue des Erables";"45,68893100";"1,31785800"
"202300000045";"7";"05";"2023";"16:15";"1";"30";"30147";"1";"1";"1";"6";"D982";"44,01987900";"4,05547100"
"202300000046";"7";"05";"2023";"21:45";"3";"67";"67205";"1";"1";"2";"2";"A35";"48,68097900";"7,80884700"
"202300000047";"8";"05";"2023";"07:45";"2";"34";"34333";"1";"6";"1";"3";"D612";"43,50098500";"3,78650400"
"202300000048";"5";"05";"2023";"22:15";"3";"64";"64021";"1";"1";"1";"2";"Autoroute 64 - PK 111+900";"43,30865800";" -0,24835900"
"202300000049";"8";"05";"2023";"02:20";"3";"34";"34172";"1";"1";"1";"4";"A709";"43,60185300";"3,92244100"
"202300000050";"8";"05";"2023";"13:00";"1";"62";"62761";"1";"1";"1";"2";"A1";"50,23268500";"2,85528700"
"202300000051";"7";"05";"2023";"14:00";"1";"987";"98714";"1";"1";"1";"6";"Matira";" -16,38797000";" -151,76487500"
"202300000052";"7";"05";"2023";"00:30";"5";"987";"98714";"1";"1";"1";"1";"RT 101 - Amanahune";" -16,38800000";" -151,76500000"
"202300000053";"7";"05";"2023";"18:55";"5";"971";"97126";"2";"1";"1";"6";"Route du Puit Temericourt";"15,95455700";" -61,31453100"
"202300000054";"4";"05";"2023";"21:45";"3";"2B";"2B140";"1";"1";"1";"1";"RT20";"42,50230800";"9,30209400"
"202300000055";"8";"05";"2023";"17:45";"1";"66";"66030";"1";"1";"1";"6";"N/A";"42,77168300";"2,75100200"
"202300000056";"7";"05";"2023";"16:10";"1";"34";"34059";"1";"1";"1";"3";"6 Rue Departementale 907";"43,35090900";"2,78772700"
"202300000057";"24";"04";"2023";"20:00";"1";"34";"34145";"2";"1";"1";"6";"430 Av Mal de Lattre de Tassigny";"43,67610500";"4,12640700"
"202300000058";"18";"04";"2023";"17:00";"1";"34";"34344";"2";"1";"1";"6";"55 Avenue de Melgueil";"43,56242700";"4,08705400"
"202300000059";"8";"05";"2023";"15:20";"1";"83";"83037";"1";"1";"1";"1";"Route Departementale 43";"43,39790700";"6,04550600"
"202300000060";"7";"05";"2023";"22:30";"3";"63";"63248";"1";"1";"3";"6";"D942";"45,74068157";"2,94280054"
"202300000061";"8";"05";"2023";"18:30";"1";"38";"38405";"1";"1";"1";"7";"route de la chartreuse";"45,36826300";"5,68615400"
"202300000062";"7";"05";"2023";"14:45";"1";"69";"69019";"2";"2";"2";"3";"178 Rue de la République";"46,11167500";"4,73470000"
"202300000063";"8";"05";"2023";"15:56";"1";"64";"64139";"1";"1";"1";"7";"D936";"43,18211300";" -0,35245500"
"202300000064";"4";"05";"2023";"15:50";"1";"33";"33019";"2";"1";"1";"3";"38bis Route de Bordeaux";"44,68750800";" -1,00137100"
"202300000065";"6";"05";"2023";"20:45";"2";"29";"29169";"1";"1";"2";"6";"Route de Pont Queau";"48,07208600";" -4,11521900"
"202300000066";"5";"05";"2023";"08:45";"2";"22";"22339";"1";"2";"7";"5";"la Pontais";"48,49931800";" -2,06519400"
"202300000067";"7";"05";"2023";"11:45";"1";"80";"80313";"1";"1";"2";"6";"AUTOROUTE A1, PK 125+280";"49,91459100";"2,85086600"
"202300000068";"4";"05";"2023";"17:00";"1";"62";"62014";"2";"6";"1";"6";"Rue du Fort Gassion";"50,64178100";"2,39776100"
"202300000069";"7";"05";"2023";"04:40";"3";"13";"13043";"1";"1";"1";"5";"A55-Sens Martigues vers Marseille";"43,39100000";"5,26600000"
"202300000070";"7";"05";"2023";"01:32";"5";"13";"13212";"1";"1";"1";"2";"A507 sens Marseille - Aubagne";"43,29171300";"5,42438300"
"202300000071";"6";"05";"2023";"15:15";"1";"83";"83137";"1";"1";"1";"2";"A50";"43,12650200";"5,88729700"
"202300000072";"5";"05";"2023";"08:45";"1";"83";"83137";"2";"1";"1";"2";"A50 SORTIE TUNNEL TUBE SUD";"43,12130629";"5,95312715"
